city,province,Latitude,Longitude
حاجی آباد,خراسان جنوبی,32.8830414,59.157697
حاجی آباد,فارس,29.6556704,52.3150351
حاجی اباد,هرمزگان,28.3071782,55.8984682
حبیب آباد,اصفهان,32.8276538,51.7757315
حر,خوزستان,32.4361465,48.35757
حسامی,فارس,29.9693659,53.87376
حسن آباد,تهران,35.6861227,51.4101573
حسن اباد,اصفهان,33.3782113,50.0589311
حسن اباد,فارس,30.5205729,52.4552555
حسینیه,خوزستان,32.6826625,48.247497
حصارگرمخان,خراسان شمالی,,
حلب,زنجان,36.2955098,48.0597202
حمیدیا,یزد,31.8254158,54.3936551
حمیدیه,خوزستان,31.4808215,48.4353791
حمزه,خوزستان,32.3918951,48.5790869
حمیل,کرمانشاه,33.9376399,46.7736717
حنا,اصفهان,31.1971774,51.7245141
حویق,گیلان,38.1479478,48.8945515
خاتون اباد,كرمان,30.0077147,55.4204993
خارک,بوشهر,29.2405943,50.31172927653904
خاروانا,آذربایجان شرقی,38.6851329,46.1697582
خاش,سیستان و بلوچستان,28.2203911,61.2137052
خاکعلی,قزوین,36.1285497,50.1758838
خالدآباد,اصفهان,33.6998125,51.9883183
خامنه,آذربایجان شرقی,38.1934507,45.6298023
خان ببین,گلستان,37.0125489,54.985773
خانیمن,فارس,30.5899692,52.0484187
خانه زنیان,فارس,,
خانوک,كرمان,30.7174008,56.77589
خاوران,فارس,28.937829,53.3147706
خداجو(خراجو),آذربایجان شرقی,37.3127515,46.5310312
خرامه,فارس,29.498294,53.3122486
خرم آباد,لرستان,33.5122724,48.3576245
خرم آباد,مازندران,36.781374,50.8727556
خرمدره,زنجان,36.20354,49.1881871
خرمدشت,قزوین,35.9294793,49.5117431
خرمشهر,خوزستان,30.4333105,48.1779858
خرو,خراسان رضوی,35.5108865,58.2596341
خسروشاه,آذربایجان شرقی,37.9513096,46.0509259
خشت,فارس,29.5679441,51.3395311
خشکبیجار,گیلان,37.3742058,49.7581583
خشکرود,مركزی,36.7983341,50.7761382
خضرآباد,یزد,31.8660363,53.9524198
خضری دشت بیاض,خراسان جنوبی,34.0216542,58.8140837
خلخال,اردبیل,37.6192217,48.5278144
خلیفان,آذربایجان غربی,36.9142262,45.431558
خلیل آباد,خراسان رضوی,35.535106,60.030846
خلیل شهر,مازندران,36.7013487,53.6402049
خمارلو,آذربایجان شرقی,39.1584011,47.0326209
خمام,گیلان,37.3904902,49.6607472
خمیر,هرمزگان,27.1699856,55.54420743583567
خمین,مركزی,31.5351472,49.9515693
خمینی شهر,اصفهان,32.6938201,51.5254892
خنافره,خوزستان,30.6326669,48.6331848
خنج,فارس,27.8899259,53.4367822
خنجین,مركزی,34.7699461,49.54680082672588
